CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,04/01/2025 09:45:00 PM,25-902992,BURGLARY-AUTO,04X,1624 FRANKLIN ST,Oakland,CA,POINT (-122.26865 37.80594)
BURG - AUTO,03/28/2025 01:09:00 AM,25-013743,BURGLARY-AUTO,26Y,805 71ST AV,Oakland,CA,POINT (-122.19682 37.75474)
OTHER SEX OFFENSES,01/23/2025 05:29:00 AM,25-003489,ASSAULT TO PENETRATE W/FOREIGN OBJECT,14X,599 EL EMBARCADERO,Oakland,CA,POINT (-122.24928 37.80901)
,03/27/2025 02:11:00 PM,25-903210,BURGLARY-NO FORCE,20X,1090 29TH AVE,Oakland,CA,POINT (-122.23142 37.77693)
DOMESTIC VIOLENCE,02/20/2025 05:20:00 PM,25-008095,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,26Y,881 69TH AV,Oakland,CA,POINT (-122.19658 37.75661)
,04/16/2025 08:45:00 AM,25-903483,BURGLARY-AUTO,22Y,4150 REDWOOD ROAD,Oakland,CA,POINT (-122.18174 37.79651)
MISDEMEANOR ASSAULT,04/05/2025 06:20:00 AM,25-015113,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,33X,9712 D ST,Oakland,CA,POINT (-122.17602 37.74238)
PETTY THEFT,03/16/2025 09:00:00 PM,25-012144,THEFT,02X,1209 WEST ST,Oakland,CA,POINT (-122.28024 37.8064)
DISORDERLY CONDUCT,03/12/2025 02:57:00 PM,25-011274,FIGHT/CHALLENGE IN PUBLIC PLACE,08X,3838 TELEGRAPH AV,Oakland,CA,POINT (-122.2644 37.82769)
PETTY THEFT,02/21/2025 02:05:00 AM,25-008149,THEFT,19X,1130 3RD AV,Oakland,CA,POINT (-122.25679 37.79583)
STOLEN VEHICLE,02/27/2025 10:00:00 PM,25-009245,VEHICLE THEFT - AUTO,30X,7500 ARTHUR ST,Oakland,CA,POINT (-122.17933 37.76253)
BURG - COMMERCIAL,02/15/2025 08:30:00 PM,25-007326,BURGLARY-FORCIBLE ENTRY,12Y,6398 TELEGRAPH AV,Oakland,CA,POINT (-122.26032 37.84996)
BURG - AUTO,03/25/2025 04:30:00 PM,25-013395,BURGLARY-AUTO,14Y,3232 GRAND AV,Oakland,CA,POINT (-122.24753 37.81208)
NARCOTICS,03/29/2025 05:10:00 PM,25-013975,CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY,24X,3500 DAVIS ST,Oakland,CA,POINT (-122.21365 37.78577)
DISORDERLY CONDUCT,04/16/2025 10:50:00 AM,25-016905,DISTURB THE PEACE,13Y,25 SOUTH HILL CT,Oakland,CA,POINT (-122.23202 37.85344)
DOMESTIC VIOLENCE,02/19/2025 06:30:00 PM,25-007908,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,19X,1300 17TH AV,Oakland,CA,POINT (-122.2434 37.78741)
DOMESTIC VIOLENCE,01/23/2025 03:05:00 PM,25-003656,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,06X,3737 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.26913 37.82696)
STOLEN VEHICLE,02/13/2025 09:00:00 PM,25-009122,VEHICLE THEFT - AUTO,25X,3682 39TH AV,Oakland,CA,POINT (-122.19579 37.79045)
PETTY THEFT,03/04/2025 05:38:00 PM,25-010004,THEFT,16X,3250 LAKESHORE AV,Oakland,CA,POINT (-122.24459 37.80991)
DOMESTIC VIOLENCE,04/15/2025 01:00:00 AM,25-017038,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,99X,455 N PARK DRIVE,Oakland,CA,POINT (-122.23375 37.82895)
NARCOTICS,02/16/2025 07:00:00 AM,25-007322,CARRY CONCEALED WEAPON IN VEHICLE,30Y,2802 68TH AV,Oakland,CA,POINT (-122.17935 37.76913)
OTHER,02/04/2025 06:50:00 PM,25-902384,MAIL/ETC THEFT/ETC,21Y,3122 BROOKDALE AV,Oakland,CA,POINT (-122.2138 37.79167)
,03/31/2025 03:00:00 AM,25-902965,GRAND THEFT,11X,5819 DOVER ST,Oakland,CA,POINT (-122.26801 37.84403)
